Date,rate_T_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,84.37
2019-03-01,0.75,4.45,-3.7,80.92
2019-04-29,0.94,7.58,-6.64,78.17
2019-06-25,6.19,7.2,-1.01,83.43
2019-08-21,14.39,7.24,7.15,91.04
2019-10-17,22.72,8.87,13.85,97.29
2019-12-13,24.13,13.19,10.94,94.58
2020-02-12,23.44,18.03,5.41,89.42
2020-04-09,0.47,3.89,-3.42,81.18
2020-06-08,8.33,14.68,-6.35,78.44
2020-08-04,-1.79,16.26,-18.05,67.53
2020-09-30,-6.5,17.41,-23.91,62.06
2020-11-25,-5.0,24.05,-29.05,57.26
2021-01-26,-2.61,29.15,-31.76,54.73
2021-03-24,-1.85,30.35,-32.2,54.32
2021-05-20,-2.95,36.67,-39.62,47.4
2021-07-19,-8.77,38.99,-47.76,39.8
2021-09-14,-10.21,43.6,-53.81,34.15
2021-11-09,-18.44,49.14,-67.58,21.3
2022-01-06,-14.04,49.24,-63.28,25.32
2022-03-07,-22.03,37.68,-59.71,28.65
2022-05-03,-15.67,36.93,-52.6,35.28
2022-06-30,-8.89,27.61,-36.5,50.31
2022-08-26,-21.66,34.27,-55.93,32.18
2022-10-24,-22.92,27.92,-50.84,36.93
2022-12-20,-20.51,28.33,-48.84,38.79
2023-02-17,-14.64,34.71,-49.35,38.32
2023-04-18,-13.01,36.36,-49.37,38.3
2023-06-14,-30.08,41.83,-71.91,17.26
2023-08-11,-36.39,43.86,-80.25,9.48
2023-10-09,-34.84,40.69,-75.53,13.89
2023-12-05,-24.16,46.52,-70.68,18.41
2024-02-02,-21.54,55.53,-77.07,12.45
2024-04-02,-22.87,61.42,-84.29,5.71
2024-05-29,-24.59,63.18,-87.77,2.46
2024-07-26,-16.48,67.5,-83.98,6.0
